Atom number: 0 
number of functions: 14
0 0.57039068 5826.765766 475.3141706303307
0 1.00607148 2173.1214409 226.84180261910072
0 3.28416693 839.4966509 111.15380094550784
0 6.73708004 335.2659622 55.84087183503559
0 8.69676061 138.1170978 28.714130862362722
0 3.24064548 58.5516054 15.085655912285427
0 -1.24954813 25.4744274 8.081433720687475
0 2.66528543 11.3418415 4.404765298204361
0 4.34574756 5.1513356 2.4369688359258195
0 0.8733083 2.3788654 1.365172384299623
0 -0.32122389 1.1130498 0.7723177908000777
0 0.2737833 0.5257427 0.44003784648352284
0 0.23267867 0.2497578 0.2517963250995755
0 0.03931255 0.1188768 0.14428889972070524
