Atom number: 0 
number of functions: 70 
0 0.14347203 2876.8216605 279.95923443026186
0 0.29456064 1004.7443032 127.18964541427866
0 1.0241512 369.7579954 60.096374478263876
0 2.30920729 142.9442404 29.46355103391958
0 3.57744896 57.8366425 14.947287826773351
0 2.43482694 24.3864983 7.821178090123978
0 -0.00704406 10.6622662 4.205302419986136
0 -0.11645545 4.8070437 2.3137617908121966
0 0.79922667 2.221077 1.2966799732646255
0 0.71745706 1.0447795 0.7365098749756717
0 0.2453203 0.4968425 0.4217685047718013
0 0.01438559 0.2371384 0.24219295507675304
1 2.58780217e-13 64.2613382 259.344650598845
1 2.02068042e-14 64.2613382 259.344650598845
1 -4.8355354e-15 64.2613382 259.344650598845
1 -1.23702188e-13 16.3006076 46.686877551894426
1 -1.97727437e-14 16.3006076 46.686877551894426
1 3.06281598e-15 16.3006076 46.686877551894426
1 2.81622833e-14 4.3550542 8.96772007217693
1 1.03925742e-14 4.3550542 8.96772007217693
1 -5.64835271e-16 4.3550542 8.96772007217693
1 -4.34776688e-15 1.2019554 1.7939094971453944
1 -3.66551169e-15 1.2019554 1.7939094971453944
1 -1.89077818e-16 1.2019554 1.7939094971453944
1 5.85736792e-16 0.3354196 0.3638527266163466
1 7.39808186e-16 0.3354196 0.3638527266163466
1 9.96768235e-17 0.3354196 0.3638527266163466
2 0.06192997 9.2146611 80.21366295188932
2 0.00053967 9.2146611 80.21366295188932
2 0.00186754 9.2146611 80.21366295188932
2 0.09074679 9.2146611 80.21366295188932
2 -0.05722554 9.2146611 80.21366295188932
2 0.09222872 2.8435251 10.24847679166923
2 0.0008037 2.8435251 10.24847679166923
2 0.00278122 2.8435251 10.24847679166923
2 0.13514394 2.8435251 10.24847679166923
2 -0.08522267 2.8435251 10.24847679166923
2 0.04657031 0.9955759 1.6332009074019262
2 0.00040582 0.9955759 1.6332009074019262
2 0.00140436 0.9955759 1.6332009074019262
2 0.06824009 0.9955759 1.6332009074019262
2 -0.04303266 0.9955759 1.6332009074019262
2 0.00503893 0.3649441 0.28203666018013385
2 4.39102934e-05 0.3649441 0.28203666018013385
2 0.00015195 0.3649441 0.28203666018013385
2 0.00738361 0.3649441 0.28203666018013385
2 -0.00465615 0.3649441 0.28203666018013385
3 -8.58027823e-17 2.6420115 13.101093101420968
3 8.96095422e-17 2.6420115 13.101093101420968
3 -4.70809387e-17 2.6420115 13.101093101420968
3 4.55593834e-17 2.6420115 13.101093101420968
3 3.70157055e-17 2.6420115 13.101093101420968
3 -1.13787673e-16 2.6420115 13.101093101420968
3 -1.31775859e-17 2.6420115 13.101093101420968
3 5.5070084e-17 0.7345613 0.7353897101095145
3 9.76551831e-18 0.7345613 0.7353897101095145
3 8.81751718e-19 0.7345613 0.7353897101095145
3 -3.51353588e-19 0.7345613 0.7353897101095145
3 -1.87547679e-17 0.7345613 0.7353897101095145
3 4.28755034e-18 0.7345613 0.7353897101095145
3 -8.23090275e-18 0.7345613 0.7353897101095145
4 -0.00023791 1.3931 2.7694066388498273
4 -3.78664911e-06 1.3931 2.7694066388498273
4 -1.31037849e-05 1.3931 2.7694066388498273
4 -0.00030004 1.3931 2.7694066388498273
4 0.00018921 1.3931 2.7694066388498273
4 -8.99001136e-06 1.3931 2.7694066388498273
4 -7.9947038e-06 1.3931 2.7694066388498273
4 -0.00020233 1.3931 2.7694066388498273
4 0.00042365 1.3931 2.7694066388498273
