Atom number: 0 
number of functions: 77 
0 0.83350807 8044.276624 605.3761954239374
0 1.6116758 2924.5123954 283.43285541296495
0 4.99824378 1110.8168739 137.1329894092163
0 10.01323374 439.9050761 68.45880631152156
0 11.31418364 181.1987287 35.19868606532755
0 2.71219617 77.4148302 18.60065408949402
0 -1.65539533 34.1977273 10.078781400383132
0 5.79440723 15.5648397 5.584940896110603
0 6.02483976 7.2707873 3.155703359665754
0 -0.30526053 3.47119 1.8124618822090706
0 -0.39018043 1.6860808 1.0545541362352266
0 0.96113259 0.8293125 0.6193679818500317
0 0.45845223 0.4110124 0.36584850576792205
0 0.06591325 0.204219 0.21651211436095713
1 7.64611187e-15 12.2564993 32.68873721310563
1 -1.08005897e-13 12.2564993 32.68873721310563
1 4.80205635e-14 12.2564993 32.68873721310563
1 -4.25202177e-15 4.8922575 10.371145389295847
1 1.33896222e-13 4.8922575 10.371145389295847
1 -9.52657358e-14 4.8922575 10.371145389295847
1 -9.4649835e-15 1.926546 3.235298204757654
1 -6.62644553e-14 1.926546 3.235298204757654
1 8.50203513e-14 1.926546 3.235298204757654
1 1.12059321e-14 0.7525989 0.9991819083828527
1 1.62399712e-14 0.7525989 0.9991819083828527
1 -4.27373423e-14 0.7525989 0.9991819083828527
1 -4.19821547e-15 0.2932189 0.307560131635835
1 -1.68901215e-15 0.2932189 0.307560131635835
1 1.03821972e-14 0.2932189 0.307560131635835
2 -0.06295027 28.4370504 576.3780251844018
2 0.00670423 28.4370504 576.3780251844018
2 -0.01241458 28.4370504 576.3780251844018
2 0.00049653 28.4370504 576.3780251844018
2 0.00075706 28.4370504 576.3780251844018
2 0.02583631 7.2772298 53.070125226929235
2 -0.00275158 7.2772298 53.070125226929235
2 0.00509525 7.2772298 53.070125226929235
2 -0.00020379 7.2772298 53.070125226929235
2 -0.00031072 7.2772298 53.070125226929235
2 -0.01453525 2.3111621 7.130379887543058
2 0.00154801 2.3111621 7.130379887543058
2 -0.00286653 2.3111621 7.130379887543058
2 0.00011465 2.3111621 7.130379887543058
2 0.00017481 2.3111621 7.130379887543058
2 -0.07752949 0.8580943 1.2592029607402802
2 0.00825693 0.8580943 1.2592029607402802
2 -0.01528979 0.8580943 1.2592029607402802
2 0.00061152 0.8580943 1.2592029607402802
2 0.0009324 0.8580943 1.2592029607402802
2 -0.01837617 0.3376227 0.2461301542238148
2 0.00195707 0.3376227 0.2461301542238148
2 -0.00362401 0.3376227 0.2461301542238148
2 0.00014494 0.3376227 0.2461301542238148
2 0.000221 0.3376227 0.2461301542238148
3 -3.55858965e-17 1.2035685 2.2336430864559653
3 -2.4923091e-17 1.2035685 2.2336430864559653
3 9.72641805e-18 1.2035685 2.2336430864559653
3 7.74210424e-17 1.2035685 2.2336430864559653
3 3.4102277e-17 1.2035685 2.2336430864559653
3 3.41139401e-17 1.2035685 2.2336430864559653
3 2.85516256e-17 1.2035685 2.2336430864559653
3 -6.39589745e-18 0.47 0.2692617289151558
3 3.15376948e-18 0.47 0.2692617289151558
3 6.02134019e-19 0.47 0.2692617289151558
3 -1.55779182e-17 0.47 0.2692617289151558
3 1.70844971e-17 0.47 0.2692617289151558
3 1.7356262e-17 0.47 0.2692617289151558
3 -7.64595458e-18 0.47 0.2692617289151558
4 -1.50555837e-06 0.75211 0.5084042516360429
4 3.01619734e-07 0.75211 0.5084042516360429
4 -5.58525376e-07 0.75211 0.5084042516360429
4 4.78482138e-08 0.75211 0.5084042516360429
4 7.29546568e-08 0.75211 0.5084042516360429
4 -6.97621872e-09 0.75211 0.5084042516360429
4 5.96728857e-10 0.75211 0.5084042516360429
4 1.26585401e-10 0.75211 0.5084042516360429
4 -2.9138652e-10 0.75211 0.5084042516360429
