Atom number: 0 
number of functions: 70 
0 0.07297659 1861.0916331 201.94630426246215
0 0.1689261 642.9939764 91.0050034712799
0 0.55357907 235.1105725 42.79216027235321
0 1.32199927 90.7028894 20.947197802874577
0 2.16366564 36.7794552 10.644225366933398
0 1.78365311 15.6046273 5.595644851503857
0 0.28580129 6.8907294 3.0311608903618095
0 -0.18697145 3.147885 1.68431856593651
0 0.19622338 1.4777287 0.9552259746167157
0 0.3810128 0.7076466 0.54988568060601
0 0.17165599 0.3430122 0.3194421847561347
0 0.01899914 0.1669453 0.1861404416009021
1 -4.59804394e-14 13.5472892 37.0472171007744
1 -6.9424365e-15 13.5472892 37.0472171007744
1 1.96002814e-14 13.5472892 37.0472171007744
1 4.63794054e-14 5.4669419 11.9157301927766
1 8.24612022e-15 5.4669419 11.9157301927766
1 -2.71198002e-14 5.4669419 11.9157301927766
1 -3.04344848e-14 2.1751721 3.76536531741146
1 -4.96436761e-15 2.1751721 3.76536531741146
1 1.81824141e-14 2.1751721 3.76536531741146
1 1.65882272e-14 0.8582194 1.1774378627870656
1 2.00615015e-15 0.8582194 1.1774378627870656
1 -7.52538675e-15 0.8582194 1.1774378627870656
1 -4.63500444e-15 0.337672 0.3669094526187497
1 -4.33281377e-16 0.337672 0.3669094526187497
1 1.64481591e-15 0.337672 0.3669094526187497
2 -0.01941943 5.9287253 37.07590671366135
2 0.01157379 5.9287253 37.07590671366135
2 -0.00260693 5.9287253 37.07590671366135
2 0.03217258 5.9287253 37.07590671366135
2 -0.01526798 5.9287253 37.07590671366135
2 -0.04029929 1.9809209 5.4441106167421305
2 0.02401799 1.9809209 5.4441106167421305
2 -0.00540991 1.9809209 5.4441106167421305
2 0.06676469 1.9809209 5.4441106167421305
2 -0.03168419 1.9809209 5.4441106167421305
2 -0.03071629 0.8055417 1.1273622903100187
2 0.01830661 0.8055417 1.1273622903100187
2 -0.00412346 0.8055417 1.1273622903100187
2 0.05088833 0.8055417 1.1273622903100187
2 -0.02414983 0.8055417 1.1273622903100187
2 -0.01433717 0.3531244 0.26624593078082004
2 0.00854482 0.3531244 0.26624593078082004
2 -0.00192467 0.3531244 0.26624593078082004
2 0.0237527 0.3531244 0.26624593078082004
2 -0.0112722 0.3531244 0.26624593078082004
3 -2.24520753e-17 1.6755626 4.7023606025474045
3 2.42317664e-16 1.6755626 4.7023606025474045
3 -4.99046406e-17 1.6755626 4.7023606025474045
3 2.45983927e-17 1.6755626 4.7023606025474045
3 2.48925417e-17 1.6755626 4.7023606025474045
3 -2.49547783e-16 1.6755626 4.7023606025474045
3 2.35322787e-17 1.6755626 4.7023606025474045
3 1.71036055e-18 0.5997536 0.46600802168338823
3 3.21096747e-16 0.5997536 0.46600802168338823
3 1.53336725e-18 0.5997536 0.46600802168338823
3 -2.52302239e-18 0.5997536 0.46600802168338823
3 -2.53971463e-17 0.5997536 0.46600802168338823
3 1.19306471e-16 0.5997536 0.46600802168338823
3 -8.69539976e-18 0.5997536 0.46600802168338823
4 -0.00029559 1.00246 1.1203915370472497
4 0.00037503 1.00246 1.1203915370472497
4 -8.4473487e-05 1.00246 1.1203915370472497
4 0.00042536 1.00246 1.1203915370472497
4 -0.00020186 1.00246 1.1203915370472497
4 -0.00027712 1.00246 1.1203915370472497
4 0.00021714 1.00246 1.1203915370472497
4 -0.00047254 1.00246 1.1203915370472497
4 0.00057887 1.00246 1.1203915370472497
